Test ID,Section,Passage ID,Figure ID,Figure ID 2,Question,A,B,C,D,Answers,,,,,,,,,,,,,,
SDBBP01,1.0,SDBBP_02_01,,,Which choice completes the text with the most logical and precise word or phrase?,widespread,careful,unintended,infrequent,,,,,,,,,,,,,,,
SDBBP02,1.0,SDBBP_02_02,,,Which choice completes the text with the most logical and precise word or phrase?,engulf,encourages,comprises,provokes,,,,,,,,,,,,,,,
SDBBP03,1.0,SDBBP_02_03,,,Which choice completes the text with the most logical and precise word or phrase?,walve,concede,refuite,require,,,,,,,,,,,,,,,
SDBBP04,1.0,SDBBP_02_04,,,"As used in the text, what does the word ""endure"" most nearly mean?",Regret,Persist,Tolerate,Encourage,,,,,,,,,,,,,,,
SDBBP05,1.0,SDBBP_02_05,,,Which choice best states the main purpose of the text?,To consider how the repetitiveness inherent in human life can rewarding and challenging,To question whether activities completed at one time of day are more memorable than those completed at another time of day,To refute the idea that joy is a more commonly experienced emotion than sadness is,To demonstrate how the experiences of individuals relate to the experiences of their communities,,,,,,,,,,,,,,,
SDBBP06,1.0,SDBBP_02_06,,,Which choice best describes the function of the underlined portion in the text as a whole?,It portrays the surroundings as an imposing and intimidating scene.,"It characterizes the sea’s waves as a relentless and enduring force
",It conveys the speaker’s ambivalence about the natural world.,It draws a contrast between the sea’s waves and the speaker’s thoughts.,,,,,,,,,,,,,,,
SDBBP07,1.0,SDBBP_02_07,,,Which choice best describes the overall structure of the text?,"It describes the delivery of a letter, and then portrays a character’s happiness at reading that letter.","It establishes that a character is desperate to receive a letter, and then explains why another character has not yet written that letter.","It presents a character’s concerns about delivering a letter, and then details the contents of that letter.","It reveals the inspiration behind a character’s letter, and then emphasizes the excitement that another character feels upon receiving that letter.",,,,,,,,,,,,,,,
SDBBP08,1.0,SDBBP_02_08,,,Which choice best states the main idea of the text?,Mary hides in the garden to avoid doing her chores.,Mary is getting bored with pulling up so many weeds in the garden.,Mary is clearing out the garden to create a space to play.,Mary feels very satisfied when she’s taking care of the garden.,,,,,,,,,,,,,,,
SDBBP09,1.0,SDBBP_02_09,,,Which choice best states the main idea of the text?,"Although inhabiting a home surrounded by fanciful features such as those designed by Gins and Arakawa can be rejuvenating, it is unsustainable.",Designing disorienting spaces like those in the Gins and Arakawa building is the most effective way to create a physically stimulating environment.,"As a filmmaker, Yamaoka has long supported the designs of conceptual artists such as Gins and Arakawa.","Although impractical, the design of the apartment building by Gins and Arakawa may improve the well-being of the building’s residents.",,,,,,,,,,,,,,,
SDBBP10,1.0,SDBBP_02_10,,,Which choice best states the main purpose of the text?,To praise a certain writer for being especially perceptive regarding people and nature,To establish that a certain writer has read extensively about a variety of topics,To call attention to a certain writer’s careful and elaborately detailed writing process,To recount fond memories of an afternoon spent in nature with a certain writer,,,,,,,,,,,,,,,
