Passage ID,Introduction,Passage,https://staging1.prestigei.com/passage,Figure ID 1,Figure ID 2,,,,,,,,,,,,,,,,,,,,
SDBBP_02_01,,"In the early 1800s, the Cherokee scholar Sequoyah created the first script, or writing system, for an Indigenous language in the United States. Because it represented the sounds of spoken Cherokee so accurately, his script was easy to learn and thus quickly achieved ______ use: by 1830, over 90 percent of the Cherokee people could read and write it.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_02,,"Like the 1945 play it reimagines$\text{---}$Federico Garcia Lorca’s $\textit{The House of Bernarda Alba}$$\text{---}$ Marcus Gardley’s 2014 play $\textit{The House That Will Not Stand}$ prominently features women. In both plays, the all-female cast ______ an array of female characters, including a strong
mother and several daughters dealing with individual struggles.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_03,,"During a 2014 archaeological dig in Spain, Vicente Lull and his team uncovered the skeleton of a woman from El Algar, an Early Bronze Age society, buried with valuable objects signaling a high position of power. This finding may persuade researchers who have argued that Bronze Age societies were ruled by men to ______ that women may have
also held leadership roles.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_04,The following text is adapted from Oscar Wilde’s 1895 play $\textit{The Importance of Being Earnest.}$,"CECILY: Have we got to part?$\\$
ALGERNON: I am afraid so. It’s a very painful parting.$\\$
CECILY: It is always painful to part from people whom one has known for a very brief
space of time. The absence of old friends one can $\underbar{endure}$ with equanimity. But even a momentary separation from anyone to whom one has just been introduced is almost unbearable.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_05,"The following text is from the 1924 poem “Cycle” by D’Arcy McNickle, who was a citizen of the Confederated Salish and Kootenai Tribes.","There shall be new roads wending,$\\$ A new beating of the drum$\text{---}$$\\$ Men’s eyes shall have fresh seeing,$\\$ Grey lives reprise their span$\text{---}$$\\$
But under the new sun’s being,$\\$ Completing what night began,$\\$ There’ll be the same backs bending,$\\$ The same sad feet shall drum$\text{---}$$\\$ When this night finds its ending$\\$ And day shall have come",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_06,The following text is from Charlotte Forten Grimke’s 1888 poem “At Newport.”,"Oh, deep delight to watch the gladsome waves$\\$ Exultant leap upon the rugged rocks;$\\$
$\underbar{Ever repulsed, yet ever rushing on$\text{---}$$\\$
Filled with a life that will not know defeat;}$$\\$
To see the glorious hues of sky and sea.$\\$
The distant snowy sails, glide spirit like,$\\$ Into an unknown world, to feel the sweet$\\$ Enchantment of the sea thrill all the soul,$\\$ Clearing the clouded brain, making the heart$\\$ Leap joyous as it own bright, singing waves!$\\$",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_07,"The following text is adapted from Aphra Behn’s 1689 novel $\textit{The Lucky Mistake.}$ Atlante and Rinaldo are neighbors who have been secretly exchanging letters through Chariot,
Atlante’s sister.","[Atlante] gave this letter to Chariot; who immediately ran into the balcony with it, where
she still found Rinaldo in a melancholy posture, leaning his head on his hand: She
showed him the letter, but was afraid to toss it to him, for fear it might fall to the ground;
so he ran and fetched a long cane, which he cleft at one end, and held it while she put the
letter into the cleft, and stayed not to hear what he said to it. But never was man so
transported with joy, as he was at the reading of this letter; it gives him new wounds; for to the generous, nothing obliges love so much as love.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_08,"The following text is adapted from Frances Hodgson Burnett’s 1911 novel $\textit{The Secret Garden.}$ Mary, a young girl, recently found an overgrown hidden garden.","Mary was an odd, determined little person, and now she had something interesting to be determined about, she was very much absorbed, indeed. She worked and dug and pulled up weeds steadily, only becoming more pleased with her work every hour instead of tiring of it. It seemed to her like a fascinating sort of play.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_09,,"Believing that living in an impractical space can heighten awareness and even improve
health, conceptual artists Madeline Gins and Shusaku Arakawa designed an apartment
building in Japan to be more fanciful than functional. A kitchen counter is chest-high on
one side and knee-high on the other; a ceiling has a door to nowhere. The effect is
disorienting but invigorating: after four years there, filmmaker Nobu Yamaoka reported significant health benefits.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_02_10,"The following text is from Maggie Pogue Johnson’s 1910 poem “Poet of Our Race.” In this poem, the speaker is addressing Paul Laurence Dunbar, a Black author.","$\hspace{1em}$Thou, with stroke of mighty pen,$\\$ $\hspace{2em}$Hast told of joy and mirth,$\\$
$\hspace{1em}$And read the hearts and souls of men$\\$ $\hspace{2em}$As cradled from their birth.$\\$
$\hspace{1em}$The language of the flowers,$\\$ $\hspace{2em}$Thou hast read them all,$\\$
$\hspace{1em}$And e’en the little brook$\\$ $\hspace{2em}$Responded to thy call.",,,,,,,,,,,,,,,,,,,,,,,
